Location,lyme,babesiosis,anaplasmosis,Population,COUNTY
Machiasport,128.5,0,NA,5446,Washington
Macwahoc Plt,0,0,0,380,NA
Madawaska,0,0,0,18320,Aroostook
Madison,115.9,0,12.9,23302,Somerset
Magalloway Plt,NA,NA,NA,232,NA
Manchester,202.9,0,39,12816,Kennebec
Mapleton,0,0,0,9484,Aroostook
Mariaville,0,0,0,2696,Hancock
Mars Hill,0,0,0,6787,Aroostook
Marshall Island,NA,NA,NA,0,NA
Marshfield,355,0,0,2535,Washington
Masardis,0,0,0,1137,Aroostook
Matinicus Isle Plt,0,0,0,371,NA
Mattawamkeag,0,0,0,3346,Penobscot
Maxfield,0,0,0,448,Penobscot
Mechanic Falls,65.6,6.6,45.9,15253,Androscoggin
Meddybemps,NA,0,0,722,Washington
Medford,0,0,0,1265,Piscataquis
Medway,NA,0,0,6494,Penobscot
Mercer,212.2,0,0,3298,Somerset
Merrill,0,0,0,1302,Aroostook
Mexico,15.3,0,7.6,13075,Oxford
Milbridge,254.2,0,0,6294,Washington
Milford,13.1,0,0,15269,Penobscot
Millinocket,14.6,0,0,20592,Penobscot
Milo,26.7,0,0,11240,Piscataquis
Milton Twp,NA,0,0,738,Oxford
Minot,96.7,7.4,44.6,13448,Androscoggin
Monhegan Island Plt,NA,0,0,371,NA
Monmouth,105.8,4.8,38.5,20803,Kennebec
Monroe,309.1,0,154.6,4529,Waldo
Monson,0,0,0,3328,Piscataquis
Monticello,0,0,0,3724,Aroostook
Montville,166.1,NA,NA,5420,Waldo
Moose River,0,0,0,1077,Somerset
Moro Plt,NA,NA,NA,170,NA
Morrill,282.2,0,NA,4606,Waldo
Moscow,0,0,0,2442,Somerset
Mount Chase,0,0,0,997,Penobscot
Mount Desert,501.4,9.6,86.8,10371,Hancock
Mount Vernon,334.4,NA,NA,8374,Kennebec
Muscle Ridge Islands,NA,NA,NA,32,NA
Naples,88,4.9,34.2,20459,Cumberland
Nashville Plt,NA,NA,NA,221,NA
