town,year,borrelia_percent,borrelia_positive,borrelia_tests,anaplasma_percent,anaplasma_positive,anaplasma_tests,babesia_percent,babesia_positive,babesia_tests,ehrlichia_percent,ehrlichia_positive,ehrlichia_tests,francisella_percent,francisella_positive,francisella_tests,rickettsia_percent,rickettsia_positive,rickettsia_tests
Centerville Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Chain of Ponds Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Chapman,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Charleston,2019,25%,1,4,0%,0,4,25%,1,4,0%,0,0,0%,0,0,0%,0,0
Charlotte,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Chase Stream Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Chebeague Island,2019,0%,0,6,0%,0,6,16.70%,1,6,0%,0,0,0%,0,0,0%,0,0
Chelsea,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Cherryfield,2019,20%,1,5,40%,2,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Chester,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Chesterville,2019,33.30%,1,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Chesuncook Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
China,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Clayton Lake Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Clifton,2019,33.30%,1,3,33.30%,1,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Clinton,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Coburn Gore,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Codyville Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Columbia,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Columbia Falls,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Comstock Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Concord Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Connor Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Cooper,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Coplin Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Corinna,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Corinth,2019,25%,1,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Cornish,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Cornville,2019,100%,2,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Cove Point Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Cox Patent,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Cranberry Isles,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Crawford,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Criehaven Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Cross Lake Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Crystal,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Cumberland,2019,42.90%,6,14,7.10%,1,14,7.10%,1,14,0%,0,0,0%,0,0,0%,0,0
Cushing,2019,25%,1,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Cutler,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Cyr Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dallas Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Damariscotta,2019,54.50%,6,11,18.20%,2,11,0%,0,11,0%,0,0,0%,0,0,0%,0,0
Danforth,2019,0%,0,1,0%,0,1,100%,1,1,0%,0,0,0%,0,0,0%,0,0
Davis Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Day Block Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Days Academy Grant Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dayton,2019,100%,1,1,100%,1,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Dead River Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Deblois,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dedham,2019,50%,2,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Deer Isle,2019,50%,7,14,0%,0,14,0%,0,14,0%,0,0,0%,0,0,0%,0,0
Denmark,2019,0%,0,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Dennistown Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dennysville,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Detroit,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Devereaux Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dexter,2019,20%,1,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Dixfield,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dixmont,2019,20%,1,5,20%,1,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Dole Brook Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dover-Foxcroft,2019,45.50%,5,11,0%,0,11,0%,0,11,0%,0,0,0%,0,0,0%,0,0
Dresden,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Drew Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dudley Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Durham,2019,37.50%,3,8,0%,0,8,0%,0,8,0%,0,0,0%,0,0,0%,0,0
Dyer Brook,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Dyer Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
E Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Eagle Lake,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Eagle Lake Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
East Machias,2019,50%,1,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
East Middlesex Canal Grant Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
East Millinocket,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
East Moxie Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Eastbrook,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Easton,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Eastport,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Ebeemee Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Eddington,2019,20%,1,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Edgecomb,2019,15.40%,2,13,15.40%,2,13,0%,0,13,0%,0,0,0%,0,0,0%,0,0
Edinburg,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
